n	k	||x*-xk||	||x*-xk||/||x*||
10	0	1.7851602572545381E-13	9.098019113758445E-15
10	1	1.1103398361466768E-12	5.6588157903346716E-14
10	2	2.817430187029739E-15	1.4358953818912906E-16
10	3	6.025102818350638E-11	3.0706767294953253E-12
10	4	7.518178836639594E-10	3.8316187288191644E-11
10	5	5.6915449858512315E-9	2.9006799169799806E-10
10	6	3.7180539242837744E-7	1.8948957401248678E-8
10	7	1.5612174965564273E-6	7.95670112343264E-8
10	8	1.5706303087516248E-5	8.004673256420762E-7
10	9	2.1263840210601802E-4	1.0837056442511656E-5
100	0	4.124559431543836E-10	7.09078758120416E-13
100	1	1.3579620623999397E-9	2.3345573479123583E-12
100	2	2.0931276917730422E-9	3.5984264717319003E-12
100	3	2.0114087297985796E-7	3.4579383031566386E-10
100	4	2.982106271565161E-6	5.1267250398984946E-9
100	5	2.8181338517163645E-5	4.8448298174823055E-8
100	6	1.5884706712598895E-5	2.7308390861665177E-8
100	7	0.004414505792728218	7.5892524696909305E-6
100	8	0.003931705176176048	6.759239792491021E-6
100	9	0.2392943394002224	4.11385836047085E-4
1000	0	8.692076911356853E-7	4.757278785384491E-11
1000	1	2.277162104492144E-6	1.2463183518806333E-10
1000	2	1.0527194791569231E-4	5.7616609887687576E-9
1000	3	2.9342322275901842E-5	1.6059407745768824E-9
1000	4	0.011178993622699444	6.118398369638312E-7
1000	5	0.09169814096033103	5.018750122652589E-6
1000	6	0.9160901810181948	5.013872320852011E-5
1000	7	14.561597583721426	7.969738414973394E-4
1000	8	144.30501519713118	0.00789798795412102
1000	9	3274.3725222224925	0.1792103670304886

