n	k	||x*-xk||	||x*-xk||/||x*||
10	0	9.903021351203649E-14	5.047047018387779E-15
10	1	1.281060749901365E-13	6.528890132482091E-15
10	2	3.8714667625850256E-13	1.973082162295575E-14
10	3	2.6780708026262078E-11	1.3648712630295545E-12
10	4	5.513379175088038E-10	2.8098782119143118E-11
10	5	4.98009768472825E-9	2.5380927981067746E-10
10	6	3.1929050858894676E-7	1.6272551095504777E-8
10	7	2.9866770581928746E-6	1.5221515744391883E-7
10	8	8.76630718173199E-6	4.467723834449195E-7
10	9	2.2730311949088695E-4	1.1584439645354154E-5
100	0	4.651837096427937E-10	7.997263528529052E-13
100	1	1.515933760362029E-9	2.6061363547572283E-12
100	2	3.726243529344658E-10	6.406017850136693E-13
100	3	2.8070439185307495E-7	4.825764421089288E-10
100	4	4.976841757797793E-6	8.555999329266986E-9
100	5	3.2352301381211035E-5	5.561886079343001E-8
100	6	2.8138624275386716E-5	4.837486545548434E-8
100	7	0.004694429058015604	8.070486028361453E-6
100	8	3.1580011586362924E-5	5.429116919938503E-8
100	9	0.138148399069004	2.3749953631170486E-4
1000	0	7.920919895085005E-7	4.3352152266834454E-11
1000	1	1.9659205888317116E-6	1.0759721072854328E-10
1000	2	1.0018092659616566E-4	5.483023236637505E-9
1000	3	6.41148386062619E-5	3.5090826351455647E-9
1000	4	0.011439164371898979	6.260792966276933E-7
1000	5	0.08974536282968715	4.9118722145505915E-6
1000	6	0.9062608102435656	4.960074986179644E-5
1000	7	14.506399916958467	7.939528064585094E-4
1000	8	140.72801541082544	0.007702214431034917
1000	9	3252.9230325764847	0.17803641052859714

